LAMMPS data file via write_data, version 22 Jul 2025, timestep = 175008, units = metal

4185 atoms
5 atom types

-21.829179578746537 59.629179578812405 xlo xhi
-21.829179578746537 59.629179578812405 ylo yhi
-21.829179578746537 59.629179578812405 zlo zhi

Atom Type Labels

1 Si
2 O
3 B
4 Na
5 Al

Masses

1 28.08599999277503
2 15.99899999588435
3 10.81099999721893
4 22.98999999408595
5 26.98199999305903

Pair Coeffs # buck/coul/long

1 834.4 0.29 0
2 9027.03 0.265 85.0321
3 121.1 0.35 0
4 0 1 0
5 351.94 0.36 0

Atoms # charge

3565 2 -0.945 5.164105538433681 -20.352226517897844 -19.764854801370387 -1 0 0
803 1 1.89 6.09170819977831 -21.45353654781734 -19.2244180949885 2 0 -2
2166 2 -0.945 6.9466849197416956 -21.186499226672616 -17.84447354699481 0 2 1
3169 2 -0.945 -1.5161506311661839 -16.744491616353578 -7.415377400209168 0 0 -1
61 4 0.473 -1.780747119323376 -21.215764934843016 -6.5965376349973575 2 0 1
1871 2 -0.945 -3.7400443436904816 -16.61225236048077 -6.294599330947499 0 1 0
1089 1 1.89 -2.7604212580324905 -15.744023295309113 -7.237899258080286 0 0 0
3583 2 -0.945 -0.27362959943975795 -19.19657873834989 -7.609111161759625 2 0 -2
1049 1 1.89 -0.8065442611014184 -18.06222954049781 -6.710598218921024 1 0 -1
1493 2 -0.945 2.871589564634977 -15.110295602958676 -7.376655445926195 0 1 1
1245 1 1.89 3.633667132416573 -15.303644580483486 -5.941037438853104 -1 -2 1
59 4 0.473 12.75616557687788 -18.767501427059987 -7.192370720746574 -5 1 2
3139 2 -0.945 12.192232295740386 -20.935844809589657 -7.803986841069694 -1 1 0
4101 2 -0.945 -4.650602013507346 -10.248285066379957 -6.333239228491016 0 0 1
1599 2 -0.945 -3.3829693109505996 -14.981972248779254 -8.510973138702813 0 0 0
1148 1 1.89 -2.9993298763705774 -13.487224086455733 -8.799604233128614 1 1 -1
3684 2 -0.945 -3.6805481218616762 -12.283033873189297 -8.075981984173499 0 1 0
3722 2 -0.945 -1.5345317390674467 -13.328843823686526 -9.295208858736894 1 1 2
1610 2 -0.945 -2.1720200800695046 -10.331220062006759 -7.331461725034588 1 1 1
883 1 1.89 -3.4794697974812863 -11.16286912182051 -6.9112225749774066 1 0 0
2442 2 -0.945 -2.228354520790589 -14.376963802597466 -6.460059125307803 1 0 -1
1001 1 1.89 -0.8446471476356798 -9.382009440059553 -7.14156901444123 0 0 0
344 3 1.418 -0.14801754086141727 -13.353603117593842 -9.529111101870923 0 0 2
1648 2 -0.945 0.46769442956294327 -12.27134314864539 -10.10127457343388 0 0 1
4114 2 -0.945 0.5661752380138161 -14.425084177811058 -8.973967962732461 1 -1 1
448 1 1.89 1.435556528197882 -14.402374700792656 -7.646049619538294 0 1 1
83 4 0.473 0.6445259514735753 -9.791684540626617 -10.072421479579491 -1 0 1
1474 2 -0.945 1.512183720740918 -12.827507047176718 -7.323157903393042 1 1 0
3660 2 -0.945 0.4145318517617582 -10.387691968444669 -6.967440717591085 0 0 0
502 1 1.89 0.8944790373540279 -11.741238956509445 -6.316364404932378 2 0 -1
2087 2 -0.945 0.5733776626480918 -14.989426955341191 -6.34551860399454 -1 1 -1
3507 2 -0.945 -0.6322929270117648 -8.43464427683199 -8.358065958691782 0 1 1
2053 2 -0.945 -2.0613760063350917 -18.551083820532604 -5.7823538167053625 0 1 -1
2349 2 -0.945 -0.4764134293929594 -12.439255938618375 -5.769079110571254 1 0 0
1183 1 1.89 10.850965905437103 -21.461356430326454 -7.187809064808831 -1 0 -1
2741 2 -0.945 -1.094853826418003 -8.761501063495174 -5.667416112943956 0 -1 1
1831 2 -0.945 0.2939840737660653 -17.462008718393065 -5.666279762289312 1 -1 0
3140 2 -0.945 -3.0062727210798066 -12.080964994226298 -5.65217002639301 1 1 -1
1811 2 -0.945 10.068258853362437 -20.21440384207671 -6.415088391050939 -2 -1 0
3846 2 -0.945 4.9073156372331646 -16.255151725639962 -5.639575373544719 0 -1 0
1478 2 -0.945 10.003299011821031 -21.631505976970768 -19.846596083803664 1 0 0
3850 2 -0.945 7.365597611773374 -21.786489703519724 -20.250179195128567 1 1 1
92 4 0.473 13.910695756080454 -21.578940887938217 -6.1218341132604 0 1 0
919 1 1.89 -9.003467223799932 -20.17483370539087 1.4363565022355604 0 0 0
1989 2 -0.945 -8.339266918469225 -20.885097355695773 0.14556357757509428 0 2 0
3180 2 -0.945 -9.396608795152444 -18.627606042199144 1.413397985843925 0 1 0
3659 2 -0.945 -10.171323411471445 -21.068289986328594 2.2183839922125212 0 2 1
989 1 1.89 -8.930976032537338 -17.299458532874993 2.1781881688731146 0 1 -1
2645 2 -0.945 -5.897771500414734 -21.710787554193416 -0.9770376036128205 0 2 1
2646 2 -0.945 -4.839416851577397 -18.142706443570276 -1.5133443907991733 1 -1 1
1139 1 1.89 -4.285557232625425 -21.330403296297494 -1.0949122356835397 -2 1 1
3381 2 -0.945 -1.5907676069587389 -4.890082926264537 5.321124937964519 0 0 1
1695 2 -0.945 -5.292377644327264 -21.51949865877434 1.7640179415343518 1 1 1
697 1 1.89 -4.825615076648678 -20.02382068376978 1.3813264174989446 1 1 -1
3912 2 -0.945 -5.863774631333195 -18.95120175717281 0.7317907299494008 1 0 1
951 1 1.89 -5.220735729232736 -17.66315911715083 -0.04147421984031514 0 0 1
2791 2 -0.945 -4.065916253703225 -20.423828598135437 -2.39922987837696 0 -1 0
1604 2 -0.945 -1.3462268801428472 -4.260474900967939 3.021182113530395 0 0 0
